category,pat,pat_type,side,ex_left,ex_right,distance,comment
negated," : (no|none|negative)",word,right,stop|stop4,,4,"captures cases like 'tumour: No', hence short distance. Previously had '([\w\(\)]+ ){,5}([\w\(\)]+){,1}: (no|none|negative)' but it is possible to make empty spaces automatically flexible in subsequent processing"
negated,(absent|excluded|free|negative|resolved|ruled out),word,right,"stop|stop2|stop4",,40,"e.g. 'tumour is resolved'"
negated,not (demonstrated|identified|indicated|known|present|seen|significant|suggested),word,right,stop,,40,"e.g. 'tumour is not present"
negated,cannot be seen,word,right,stop,,40,"e.g. 'tumour cannot be seen'"
negated,(clear|free) (of|from),word,left,stop2,stop,100,"e.g. 'free of tumour'"
negated,(nil|no|not|without),word,left,,stop|stop3,100,"e.g. 'no ... tumour'"
negated,no (evidence|features|indication|sign),wordstart,left,,stop,40,"e.g. 'no sign of ...', 'no signs of ...'"
negated,not (contain|indicat|represent|show|suggest),wordstart,left,,stop,40,
negated,cannot see,word,left,,stop,40,
negated,absence of,word,left,stop2,stop,40,
negated,(is|are) negative for,word,left,,stop,40,
negated,preferred over,word,left,,stop,40,
historic,(histor|previous|predates|prior|known|recent|has had),wordstart,left,,stoph|stoph2,40,"e.g. 'known tumour' but not 'prior therapy for tumour'"
historic,clinical (details|history|information),wordstart,left,,stoph,80,
historic,(19\d\d|20\d\d),word,left,,stoph|stopr,40,
historic,(jan|feb|mar|apr|in may|may 19\d\d|may 20\d\d|jun|jul|aug|sep|oct|nov|dec),word,left,,stoph|stopr,40,
historic,(january|february|march|april|in may|may 19\d\d|may 20\d\d|june|july|august|september|october|november|december),word,left,,stoph|stopr,40,
historic,(19\d\d|20\d\d),word,right,stoph|stopr,,20,
historic,(jan|feb|mar|apr|may 19\d\d|in may|may 20\d\d|jun|jul|aug|sep|oct|nov|dec),word,right,stoph|stopr,,20,
historic,(january|february|march|april|in may|may 19\d\d|may 20\d\d|june|july|august|september|october|november|december),word,right,stoph|stopr,,20,
general,(individuals|patients|subjects) with,word,both,,,40,"when side=both, do not specify ex_left and ex_right as it leads to unexpected results"
metastatic,(metastatic|recurrent|recurring),word,both,,,40,"e.g. metastatic colorectal carcinoma"
response,(response|respond|responds|regression|trg|trs),word,right,,,10,"e.g. tumour response (grade ...)"
response,(reduction) in,word,left,,stop,10,
response,(residual|remaining),word,left,,stop,10,
general,(not) (typical) (for),word,left,,stop,40,
general,(correlat\w*),word,left,,stop,40,
general,(lesions|tumours) (can|may|might|could) be associated with,word,left,,stop,40,
general,(can|may|might|could) be associated with,word,right,stop,,20,
general,(genome|genomes|genes|resistance|mutation|mutations|antibody|antibodies),word,both,,,40,
general,(recommend\w*),word,left,,stop,40,
general,in (colorectal cancer|crc|tumours|tumors),word,right,,,40,
general,can show,word,right,stop,,20,
general,in the context of,word,left,,stop,40,
general,(heterogeneity|heterogeneous),word,right,stop,,10,
general,clinical trials? of,word,left,,stop,80,
general,to (exclude|rule out),wordstart,left,,stop,80,
general,tumou?r types,wordstart,both,,,40,
general,(guidelines|guidance|guide|evaluation of),wordstart,both,,,40,
general,(origin\w*|source\w*|derive\w*) (of|from),word,left,,stop,40,
general,(options|therapies|therapy|treatments|treatment) (in|for),word,left,,stop,40,
general,(investigation|investigating|investigate|test|tests|testing|study|studies|research|res),word,left,,stop,40,
general,(investigation|investigating|investigate|test|tests|testing|study|studies|research|res),word,right,stop,,40,
general,(pathway|clinical),word,left,,stop,10,
general,(pathway),word,right,stop,,10,
general,"(colonoscopy|colonoscopies) (advis\w*|recommend\w*|suggest\w*)",string,left,,,100,
general,(variant|variants|variation|variations),word,both,,,40,
general,panel,word,right,,,40,
general2,(occurring|occurs|reported|frequency|frequencies|frequently|gene) in,word,left,,,10,
general2,in this,word,left,,,10,
not_assessed,"(unable|difficult|not possible|impossible|infeasible|unfeasible|hard|inadequate) to (ascertain|assess|deduc|identif|differentiat|distinguish|define|confirm|say|know|see)",wordstart,right,stopr,,40,
not_assessed,"(cannot|inadequately|prevent|preclud) (ascertain|assess|deduc|identif|differentiat|distinguish|define|confirm|say|know|see)",wordstart,right,stopr,,40,
not_assessed,"unknown",wordstart,right,stopr,,20,
not_assessed,: N/?A,wordstart,right,stopr,,10,
not_assessed,"(cannot|inadequately|prevent|preclud) (ascertain|assess|deduc|identif|differentiat|distinguish|define|confirm|say|know|see)",wordstart,left,,stopr,40,
not_assessed,"(unable|difficult|not possible|impossible|infeasible|unfeasible|hard|inadequate) to (ascertain|assess|deduc|identif|differentiat|distinguish|define|confirm|say|know|see)",wordstart,left,,stopr,40,
not_assessed,mask,wordstart,left,,stopr,40,
false_pos,(obstruction|collection),word,right,stopr,,10,
false_pos,(can|could|might|may) recur,word,sentence,,,,
false_pos,:(\n|\r),word,right,,,5,
possible,(suspected|presumed|suggested|probable|likely|possible|not definite),wordstart,right,stopr,,40,
possible,(might|may|could|can) be (considered|present|associated),wordstart,right,stopr,,20,
possible,(should be|is) (considered|possible|a? possibility|possibilities),wordstart,right,stopr,,20,
possible,(cannot be) (ruled out|excluded),wordstart,right,stopr,,40,
possible,(difficult|not possible|impossible|hard) to (rule out|exclude),wordstart,right,stopr,,40,
possible,(suspicious|concerning) for,word,left,,stopr,40,
