string,tnm_category,side,distance,string_type,action,comment
no,all,right,10,word,remove,"excluding 'no' close on the right side in phrases like 'tumour perforation (pT4): No'"
none,all,right,10,word,remove,
at,all,left,10,word,remove,"excluding 'at' close on the left side in phrases like 'at TX', 'at TX and LX' (MRI)"
axial,all,both,10,string,remove,"excluding 'axial' either on left or right side"
sagital,all,both,10,string,remove,"when 'string_type' is 'string' then 'sagital' can be part of a word such as 'sagitally' or 'asagital'"
sagittal,all,both,10,string,remove,
coronal,all,both,10,string,remove,
distal,all,both,3,string,remove,
proximal,all,both,3,string,remove,
weighted,all,both,10,string,remove,
weigh,all,both,10,string,remove,
signal,all,both,10,string,remove,
intensit,all,both,10,string,remove,
intense,all,both,10,string,remove,
sequence,all,both,10,string,remove,
low,all,both,10,string,remove,
high,all,both,10,string,remove,
lesion,all,both,10,string,remove,
vertebr,all,both,10,string,remove,
flair,all,both,10,string,remove,
invasion,all,both,50,string,keep,"words related to invasion, inflitration, perforation, applied to all TNM categories ... "
invadin,all,both,50,string,keep,
invade,all,both,50,string,keep,
infiltrat,all,both,50,string,keep,
perforat,all,both,50,string,keep,
stage,T,both,50,string,keep,"simple stage and cancer related keywords"
stagi,T,both,50,string,keep,
tumor,T,both,50,string,keep,
tumour,T,both,50,string,keep,
crc,T,both,50,word,keep,
adenocarc,T,both,50,string,keep,
carcinom,T,both,50,string,keep,
cancer,T,both,50,string,keep,
adenoma,T,both,50,string,keep,
dysplasi,T,both,50,string,keep,
neoplas,T,both,50,string,keep,
disease,T,both,50,string,keep,
malignan,T,both,50,string,keep,
propria,T,both,50,string,keep,
mucosa,T,both,50,string,keep,
muscularis,T,both,50,string,keep,
submucosa,T,both,50,string,keep,
serosa,T,both,50,string,keep,
periton,T,both,50,string,keep,
omentum,T,both,50,string,keep,
omental,T,both,50,string,keep,
grade,T,both,50,string,keep,
differentiat,T,both,50,string,keep,
G1,T,both,10,word,keep,
G2,T,both,10,word,keep,
G3,T,both,10,word,keep,
G4,T,both,10,word,keep,
GX,T,both,10,word,keep,
malignan,T,both,50,string,keep,
excis,T,both,50,string,keep,
resect,T,both,50,string,keep,
AJCC,T,both,50,word,keep,
UICC,T,both,50,word,keep,
TNM,T,both,50,word,keep,"e.g. 'TNM 8th edition: T1'"
edition,T,both,50,string,keep,"e.g. 'TNM 8th edition: T1'"
T is,T,both,50,string,remove,"e.g. 'T is' where is is a verb"
stage,N,both,50,string,keep,"simple stage and cancer related keywords"
stagi,N,both,50,string,keep,
tumor,N,both,50,string,keep,
tumour,N,both,50,string,keep,
crc,N,both,50,word,keep,
