pat,repl
crampig|crmaping,cramping
crmaps,cramps
dicomfort|discmfort|discmofort|discofort|discomfo|discomfor|discomfory|discomfot|discomfrot|discomofort|discomofrt|disconfort|disomfrt,discomfort
ain|apin|oain|opain|paain|pai|painb|painl|paion|pakin|pian|pin|pqain,pain
ains|apins|pians,pains
abd|abdoi|abdom|abdomi|abdop|abdpo|abdso|abo|abod|abodmo|absdo|abso|adbo|ado|bado|baod|bdo|cabdo|ofabdo|abdiminal|abdmoinal|abdmonal|abdomainl|abdomenal|abdomial|abdomianl|abdomibnal|abdomin|abdomina|abdominla|abdomnal|abdomnial|abdonial|abdopminal|abnominal|abodminal|abodominal|abomdinal|abominal|adbominal|adominal|baodminal|bdominal,abdominal
bpwel|bowl|bowlel|bowell|bowrl|boiwel|bowles|bowekl|bwel|bowe|bowle|bowelsca|boe|bowelo|bpowel|bwels|bolowel|bowesl|boler|blowel|bowewl|bowls|bowells|bowerl|bwoel|vbowels|boewl|bowelk|bweols|nbowel|bopwel|nowel|bwoels|abowel|bweol|boewel|boel|bowwl|bbowel|bow|bowerls,bowel
inbowel,in bowel
mas,mass
lum,lump
lo|loe|lwo,low
change ion,change in
ifron|ion|iorn|irfon|irn|iro|irod|irone|ironn|iton|uiron,iron
defciency|defeciency|deffciency|defficiency|deficeiency|deficeincy|deficency|deficiancy|deficiecny|deficiedncy|deficieincy|deficienc|deficienccy|deficienct|deficiencvy|deficienmcy|deficientcy|deficieny|deficincy|deficinecy|defieciency|defiriency|defiviency|defoiciency|dewficiency|edficiency|defcency|defficency|deficeeincy|deficeinecy|deficicney|deficicny|deficien|deficient|defiecency|defiecienct|defieincy|defiency|defiicencya|defincinecy,deficiency
ddef|de|deff|defi|defy|deif|ef|vdef,def
anaemic|anaemi|aneamia|anaaemia|anaemiia|anameeia|anaeamia|anaemiqa|anbaemia|anemai|aanaemia|anaeomia|anamemia|ananemia|anameia|anameic|anemaia|anaenia|anaemmia|anaemiac|anaem|aenaemia|anaemai|anemia|anemi|aneemia|anaermia|aanemia|anarmia|anaemias|anamiea|anaaemic|anamia|anaemaia|anaenmia|anaeima|anaema|aneamiaz|anaeami|aneamic|anmeic|ameamia|anenaemia|amaemia|anaeimia|anaemiaq|aenamia,anaemia
nicrocytosis|micorcytic|microcitic|microcyctic|microcystic,microcytosis
haemoblobin|haemoglobins|hemoglocin|hemoglobin,haemoglobin
hgb,hb
tary|tar,tarry
melana|maelena|malena|maleana|meleana|malaena|mealena,melaena
balck|blac|blck,black
drak,dark
loos estool,loose stool
lipuid|liquidy,liquid
waterly|waterry,watery
durgency|urgenc,urgency
sotol|stoo|stoools|cstools|stiool|sttol|stoom|stoiol|stoolls|stols|stolls|estool|tool|sool|stoole|stooles|sstools|stoool|stool|stoll|sttool,stool
bloodm|bloofd|beeding|blleding|bloo|rbleeding|blod|bleeed|b;leeding|b;eeding|bllood|blee|bleding|lood|bllod|bleedi|bleedin|bl;eeding|b;lood|b;leedi|bloodin|blo|bledding|ble|bleede|bleeidng|bld|bloood|bleedinbg|bleegin|blooded|bloor|bloos|bleedig|bleedings|leeding|bleeing|bood|bloodfd|bleedign|blodds|vbleed|bleeeding|bleedng,blood
occualt|occulr|occg,occult
diarrhoeal|dairrheoa|diarrhheoa|diarrho|diarhea|diarrhgoea|diiarrhoea|diathea|diarrrhoea|diarrohe|doiiarrhoea|dairrhoea|diarrhaoe|diarhroea|diarrhoe|diaarrhoea|dirrohoea|diarrheoa|dairrh|diarhoea|diarrehoa|doarrhea|diahorrhoea|diarrhoera|diarrheo|diarroea|diarrhoae|diarhorhea|diarrhoeaa|diarrhoa|diraahoea|dirrhoea|diorrhea|diarheoa|dirrhea|dirahhoea|diahrroea|diaarhoea|diarerhoea|ddiarr|dia|diar|diarrhoiea|diarrhorea|diarrahoea|iarrhoea|diarhoeal|doarrhoea|diarhh|idarrhoea|dairrhoa|diah|diarrohea|diorrhoe|diarrahea|diorrhoea|diarri|diarhrea|diarthoea|diarrhoes|diarhhoea|diarrhhoea|diarrhoeqa|diarrohoea|diabrrhoea|siarrhoea|diarrhorrea|diarrehoe|diarrnuea,diarrhoea
lloose|llose|looose|loos|looser|looses|loosse|lose|losoe|losse|loosedr,loose
motoins|montions|2motions|motison|motio,motion
constipration|constipate|constipatin|condstipation|constoiaption|conspipation|constiaption|contsipation|constipatio|constpation|comnstipation|contaipation|consutipation|constipaton|constiptaed|cosntipation|constpitaion|sonstipat|constipatoin|constiption|constpiation|constipoation|sonstipation|cobnstipation|consipation|consitpated|constipatrion|constiapted|consiptation|constipations|constipn|constaption|constpati|mcontipation|consti|constipattion|contipation|constipaiton|constipatiion|constipati|constipatipon|constiptaion|consitipation|constipatiom|constipa|conistipation|constiation|constiaptrion|ocnstipation|constiptated|constipaition|constipationb|cosntip|consipatio|constipatpn|consitpation,constipation
diffcult|diofficult,difficulty
pasing,passing
faceal|faec|feacal|foecal|caecal|faecis|faecval,faecal
recatal|rectral|ractal|drectal|reactal|rectgal|recta|rectaal|recto|reectal|retal|rectalk|rectla|rectaol|recatl|rectul|reetal|recum|recctal|refctal|rectally|rectsl|recetal|rectu,rectal
perenium|perianal,perineum
haemorhage,haemorrhage
mentrual,menstrual
hos|hospi|hoispital|hopsital|hospitals|hospitial,hospital
abh|chb|cob|icbh|rcbh|oibh|cobh|chib|coab|ciibh|cinbh|chinbh|cibgh,cibh
defacation|defeacation|defaecatio|defaceation|defecating|defeactaion,defecation
habi|b.habit|hait|haibt|abit|habot|habuit|habvit|habiits|haboits|habite|habbits|habitrs|habvits|habut|habbbit|ahbit|haboit|hbait|habbit,habit
fre|frequ|fequency|freqency|freqeuncy|freqnency|frequenc|frequen|frequently|freuqncy|freuqnecy,frequency
