model,threshold,metric_name,metric_value,model_name,m,q025,q975,ci_low,ci_high
all,0.005,n,5000.0,all,0,5000.0,5000.0,5000.0,5000.0
all,0.01,n,5000.0,all,0,5000.0,5000.0,5000.0,5000.0
all,0.0141,n,5000.0,all,0,5000.0,5000.0,5000.0,5000.0
all,0.02,n,5000.0,all,0,5000.0,5000.0,5000.0,5000.0
all,0.03,n,5000.0,all,0,5000.0,5000.0,5000.0,5000.0
all,0.04,n,5000.0,all,0,5000.0,5000.0,5000.0,5000.0
all,0.05,n,5000.0,all,0,5000.0,5000.0,5000.0,5000.0
all,0.1,n,5000.0,all,0,5000.0,5000.0,5000.0,5000.0
all,0.2,n,5000.0,all,0,5000.0,5000.0,5000.0,5000.0
none,0.005,n,5000.0,none,0,5000.0,5000.0,5000.0,5000.0
none,0.01,n,5000.0,none,0,5000.0,5000.0,5000.0,5000.0
none,0.0141,n,5000.0,none,0,5000.0,5000.0,5000.0,5000.0
none,0.02,n,5000.0,none,0,5000.0,5000.0,5000.0,5000.0
none,0.03,n,5000.0,none,0,5000.0,5000.0,5000.0,5000.0
none,0.04,n,5000.0,none,0,5000.0,5000.0,5000.0,5000.0
none,0.05,n,5000.0,none,0,5000.0,5000.0,5000.0,5000.0
none,0.1,n,5000.0,none,0,5000.0,5000.0,5000.0,5000.0
none,0.2,n,5000.0,none,0,5000.0,5000.0,5000.0,5000.0
all,0.005,prevalence,0.0172,all,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
all,0.01,prevalence,0.0172,all,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
all,0.0141,prevalence,0.0172,all,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
all,0.02,prevalence,0.0172,all,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
all,0.03,prevalence,0.0172,all,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
all,0.04,prevalence,0.0172,all,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
all,0.05,prevalence,0.0172,all,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
all,0.1,prevalence,0.0172,all,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
all,0.2,prevalence,0.0172,all,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
none,0.005,prevalence,0.0172,none,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
none,0.01,prevalence,0.0172,none,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
none,0.0141,prevalence,0.0172,none,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
none,0.02,prevalence,0.0172,none,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
none,0.03,prevalence,0.0172,none,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
none,0.04,prevalence,0.0172,none,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
none,0.05,prevalence,0.0172,none,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
none,0.1,prevalence,0.0172,none,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
none,0.2,prevalence,0.0172,none,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
all,0.005,harm,0.0,all,0,0.0,0.0,0.0,0.0
all,0.01,harm,0.0,all,0,0.0,0.0,0.0,0.0
all,0.0141,harm,0.0,all,0,0.0,0.0,0.0,0.0
all,0.02,harm,0.0,all,0,0.0,0.0,0.0,0.0
all,0.03,harm,0.0,all,0,0.0,0.0,0.0,0.0
all,0.04,harm,0.0,all,0,0.0,0.0,0.0,0.0
all,0.05,harm,0.0,all,0,0.0,0.0,0.0,0.0
all,0.1,harm,0.0,all,0,0.0,0.0,0.0,0.0
all,0.2,harm,0.0,all,0,0.0,0.0,0.0,0.0
none,0.005,harm,0.0,none,0,0.0,0.0,0.0,0.0
none,0.01,harm,0.0,none,0,0.0,0.0,0.0,0.0
none,0.0141,harm,0.0,none,0,0.0,0.0,0.0,0.0
none,0.02,harm,0.0,none,0,0.0,0.0,0.0,0.0
none,0.03,harm,0.0,none,0,0.0,0.0,0.0,0.0
none,0.04,harm,0.0,none,0,0.0,0.0,0.0,0.0
none,0.05,harm,0.0,none,0,0.0,0.0,0.0,0.0
none,0.1,harm,0.0,none,0,0.0,0.0,0.0,0.0
none,0.2,harm,0.0,none,0,0.0,0.0,0.0,0.0
