recall,metric_name,metric_value,model_name,m,q025,q975,ci_low,ci_high
0.01,precision,1.0,fit-age-sex-bloods,0,0.7115384615384617,1.0,0.7115384615384617,1.0
0.02,precision,1.0,fit-age-sex-bloods,0,0.3769086883493663,1.0,0.3769086883493663,1.0
0.03,precision,1.0,fit-age-sex-bloods,0,0.3265461041219781,1.0,0.3265461041219781,1.0
0.04,precision,0.7747747747747749,fit-age-sex-bloods,0,0.32578495595211204,1.0,0.32578495595211204,1.0
0.05,precision,0.8113207547169812,fit-age-sex-bloods,0,0.37295482295482296,1.0,0.37295482295482296,1.0
0.06,precision,0.7206703910614525,fit-age-sex-bloods,0,0.36863675705223836,1.0,0.36863675705223836,1.0
0.07,precision,0.6674057649667406,fit-age-sex-bloods,0,0.36528257306075784,1.0,0.36528257306075784,1.0
0.08,precision,0.6963562753036437,fit-age-sex-bloods,0,0.38355360103149755,1.0,0.38355360103149755,1.0
0.09,precision,0.6075353218210361,fit-age-sex-bloods,0,0.40640630627025726,1.0,0.40640630627025726,1.0
0.1,precision,0.589041095890411,fit-age-sex-bloods,0,0.41312769010043043,1.0,0.41312769010043043,1.0
0.11,precision,0.6119016817593791,fit-age-sex-bloods,0,0.40970664148554786,0.959297343616109,0.40970664148554786,0.959297343616109
0.12,precision,0.6323529411764706,fit-age-sex-bloods,0,0.3519743502028107,0.9130637960655261,0.3519743502028107,0.9130637960655261
0.13,precision,0.6149614961496149,fit-age-sex-bloods,0,0.34779535259146577,0.842927326659251,0.34779535259146577,0.842927326659251
0.14,precision,0.6323529411764707,fit-age-sex-bloods,0,0.341104649199811,0.8337757133377569,0.341104649199811,0.8337757133377569
0.15,precision,0.6482412060301508,fit-age-sex-bloods,0,0.3193283394183558,0.8133660130718954,0.3193283394183558,0.8133660130718954
0.16,precision,0.6628131021194605,fit-age-sex-bloods,0,0.2881950094928126,0.8175970118281801,0.2881950094928126,0.8175970118281801
0.17,precision,0.5938261575954509,fit-age-sex-bloods,0,0.2667401302522549,0.8153708362026281,0.2667401302522549,0.8153708362026281
0.18,precision,0.5633187772925764,fit-age-sex-bloods,0,0.24414165381921799,0.8238199993781288,0.24414165381921799,0.8238199993781288
0.19,precision,0.5765702187720536,fit-age-sex-bloods,0,0.22804032044112388,0.8315296712774073,0.22804032044112388,0.8315296712774073
0.2,precision,0.589041095890411,fit-age-sex-bloods,0,0.2187118797465864,0.8291423001949315,0.2187118797465864,0.8291423001949315
0.21,precision,0.5008319467554075,fit-age-sex-bloods,0,0.20626499166188625,0.8298402760917065,0.20626499166188625,0.8298402760917065
0.22,precision,0.5124593716143012,fit-age-sex-bloods,0,0.1870299840831939,0.8067235969833896,0.1870299840831939,0.8067235969833896
0.23,precision,0.45180447693010506,fit-age-sex-bloods,0,0.19270916979328856,0.783261866678481,0.19270916979328856,0.783261866678481
0.24,precision,0.41579371474617244,fit-age-sex-bloods,0,0.1823465545749746,0.7369719699960516,0.1823465545749746,0.7369719699960516
0.25,precision,0.4095238095238095,fit-age-sex-bloods,0,0.18851132686084143,0.702542477222359,0.18851132686084143,0.702542477222359
0.26,precision,0.3644067796610169,fit-age-sex-bloods,0,0.18529448335650384,0.710670901948856,0.18529448335650384,0.710670901948856
0.27,precision,0.373191899710704,fit-age-sex-bloods,0,0.18437622277683202,0.6755011363677875,0.18437622277683202,0.6755011363677875
0.28,precision,0.30069930069930073,fit-age-sex-bloods,0,0.1814526359363316,0.6834169417553748,0.1814526359363316,0.6834169417553748
0.29,precision,0.3081294786261428,fit-age-sex-bloods,0,0.18152150796446262,0.6109748007907133,0.18152150796446262,0.6109748007907133
0.3,precision,0.3115942028985507,fit-age-sex-bloods,0,0.1814149053002349,0.6189967449218962,0.1814149053002349,0.6189967449218962
0.31,precision,0.29085751691032075,fit-age-sex-bloods,0,0.18483831981613108,0.6266944193134864,0.18483831981613108,0.6266944193134864
0.32,precision,0.2512783053323594,fit-age-sex-bloods,0,0.18872956141993394,0.5529505444640811,0.18872956141993394,0.5529505444640811
